City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gamba,-2.65,10.0,22.91,84,59,3.78,GA,1690389111
1,la'ie,21.6477,-157.9253,25.98,76,59,6.47,US,1690389111
2,port-aux-francais,-49.35,70.2167,5.3,85,93,19.42,TF,1690389057
3,kerikeri,-35.2268,173.9474,9.62,80,51,2.84,NZ,1690389089
4,georgetown,5.4112,100.3354,28.96,89,20,1.54,MY,1690388834
5,bredasdorp,-34.5322,20.0403,10.46,86,88,2.52,ZA,1690389057
6,puerto natales,-51.7236,-72.4875,2.4,82,45,2.19,CL,1690389056
7,ulladulla,-35.35,150.4667,8.61,80,10,1.95,AU,1690389112
8,dadukou,26.5479,101.7054,23.26,93,100,0.9,CN,1690389112
9,novoorsk,51.381,58.9813,25.36,45,44,3.55,RU,1690389112
10,waitangi,-43.9535,-176.5597,9.43,68,85,11.33,NZ,1690388877
11,port mathurin,-19.6833,63.4167,23.74,80,8,6.21,MU,1690389058
12,krutinka,56.0055,71.5113,17.92,64,99,3.03,RU,1690389113
13,kathmandu,27.7167,85.3167,23.24,85,75,0.89,NP,1690388881
14,talnakh,69.4865,88.3972,21.23,58,65,1.54,RU,1690389062
15,chandbali,20.7833,86.7667,28.66,84,60,4.59,IN,1690389113
16,cabo san lucas,22.8909,-109.9124,31.95,66,75,2.57,MX,1690388877
17,caconda,-13.7333,15.0667,21.69,18,0,1.45,AO,1690389113
18,blackmans bay,-43.0167,147.3167,10.29,85,100,2.52,AU,1690389061
19,hawaiian paradise park,19.5933,-154.9731,22.8,97,100,2.57,US,1690389114
20,adamstown,-25.066,-130.1015,19.52,74,60,8.6,PN,1690389058
21,shimoda,34.6667,138.95,25.61,87,71,2.17,JP,1690388985
22,ta`u,-14.2336,-169.5144,25.19,75,79,5.99,AS,1690389114
23,yuzhno-kurilsk,44.0306,145.8556,17.47,97,42,1.63,RU,1690388706
24,grytviken,-54.2811,-36.5092,-1.84,92,88,4.51,GS,1690389057
25,chonchi,-42.6128,-73.8092,9.51,82,100,1.58,CL,1690389114
26,avarua,-21.2078,-159.775,19.03,94,75,1.54,CK,1690389057
27,edinburgh of the seven seas,-37.0676,-12.3116,10.31,51,88,8.38,SH,1690389061
28,bodaybo,57.8506,114.1933,17.99,85,5,0.73,RU,1690389115
29,danjiangkou,32.5428,111.5086,25.75,86,92,0.94,CN,1690389115
30,stanley,54.868,-1.6985,20.16,57,20,3.6,GB,1690389115
31,hadibu,12.65,54.0333,25.52,75,30,9.46,YE,1690389115
32,copala,16.65,-98.9833,31.72,53,56,1.73,MX,1690388786
33,sao jose da coroa grande,-8.8978,-35.1478,26.8,63,24,4.17,BR,1690388968
34,yellowknife,62.456,-114.3525,22.29,43,75,7.72,CA,1690389059
35,wailua homesteads,22.0669,-159.378,24.44,87,100,6.69,US,1690389117
36,balangiga,11.1097,125.3875,27.32,82,100,4.12,PH,1690389117
37,klyuchi,52.2667,79.1667,23.01,38,80,2.78,RU,1690388982
38,tchintabaraden,15.8969,5.7985,38.04,26,35,2.68,NE,1690389117
39,dudinka,69.4058,86.1778,21.46,70,0,3.73,RU,1690389118
40,vila franca do campo,37.7167,-25.4333,24.23,65,59,0.52,PT,1690388914
41,isafjordur,66.0755,-23.124,10.02,66,75,5.14,IS,1690389062
42,kaa-khem,51.6833,94.7333,15.6,69,21,2.06,RU,1690389118
43,kodiak,57.79,-152.4072,11.73,100,100,0.0,US,1690389118
44,poronaysk,49.2167,143.1167,15.28,99,97,1.19,RU,1690389119
45,adre,13.4667,22.2,28.41,55,93,6.46,TD,1690389119
46,st. john's,47.5649,-52.7093,29.04,52,75,6.17,CA,1690388888
47,thompson,55.7435,-97.8558,13.09,76,75,3.6,CA,1690389119
48,daru,-9.0763,143.2092,24.68,86,89,6.15,PG,1690388961
49,fale old settlement,-9.3852,-171.2468,28.13,75,75,8.32,TK,1690388989
50,nova sintra,14.8667,-24.7167,23.14,84,100,4.06,CV,1690389120
51,tralee,52.2704,-9.7026,18.14,94,100,9.26,IE,1690389120
52,ares,-6.1944,-35.1603,30.05,58,31,7.1,BR,1690389120
53,bethel,41.3712,-73.414,30.08,66,0,2.06,US,1690389061
54,vadso,70.0744,29.7487,11.49,87,100,2.06,NO,1690389121
55,lebu,-37.6167,-73.65,10.04,76,100,2.45,CL,1690389121
56,hasaki,35.7333,140.8333,26.28,87,28,3.46,JP,1690389121
57,shakhtersk,48.0625,38.5167,24.41,46,1,2.54,UA,1690389121
58,atafu village,-8.5421,-172.5159,27.87,77,82,8.93,TK,1690389122
59,ilulissat,69.2167,-51.1,7.7,58,1,2.45,GL,1690389122
60,margaret river,-33.95,115.0667,12.43,80,100,10.12,AU,1690389061
61,ushuaia,-54.8,-68.3,0.81,64,20,2.06,AR,1690388710
62,vilyuchinsk,52.9306,158.4028,13.15,85,80,0.86,RU,1690389121
63,tongchuanshi,35.0806,109.0897,24.5,69,100,2.47,CN,1690388933
64,hamilton,39.1834,-84.5333,33.19,65,0,6.69,US,1690389122
65,badger,64.8,-147.5333,20.28,81,75,2.57,US,1690389058
66,xiongzhou,25.1167,114.3,26.44,84,90,1.35,CN,1690389123
67,grand falls-windsor,48.9332,-55.6649,27.03,53,100,5.52,CA,1690389123
68,nar'yan-mar,67.6713,53.087,18.86,76,100,1.44,RU,1690389123
69,labrador city,52.9463,-66.9114,20.95,49,75,5.14,CA,1690388942
70,puerto ayora,-0.7393,-90.3518,29.98,88,39,4.47,EC,1690389059
71,argo,37.6333,22.7333,34.88,13,6,6.18,GR,1690388917
72,bamboo flat,11.7,92.7167,28.05,83,40,7.72,IN,1690389124
73,les avirons,-21.2418,55.3394,20.05,83,75,2.57,RE,1690389124
74,bilibino,68.0546,166.4372,7.94,82,59,1.5,RU,1690389059
75,kingston,17.997,-76.7936,33.47,63,20,3.6,JM,1690389124
76,isabel segunda,18.1491,-65.4427,31.85,78,100,7.74,PR,1690389124
77,kapit,2.0167,112.9333,23.91,90,37,0.57,MY,1690389124
78,nuuk,64.1835,-51.7216,6.34,93,75,5.14,GL,1690388666
79,hermanus,-34.4187,19.2345,12.67,85,75,6.4,ZA,1690389125
80,port elizabeth,-33.918,25.5701,16.16,77,0,2.06,ZA,1690389055
81,iskateley,67.6803,53.1512,18.79,76,100,1.3,RU,1690389125
82,jamestown,42.097,-79.2353,28.64,54,85,2.68,US,1690389119
83,anadyr,64.75,177.4833,10.28,93,75,3.0,RU,1690389125
84,ancud,-41.8697,-73.8203,8.76,81,100,2.5,CL,1690389125
85,flying fish cove,-10.4217,105.6791,24.82,88,100,3.09,CX,1690389125
86,taoudenni,22.6783,-3.9836,47.19,6,0,4.08,ML,1690389126
87,hino,35.6731,139.4003,29.56,75,36,4.47,JP,1690389126
88,ostersund,63.1792,14.6357,15.9,33,40,2.57,SE,1690389126
89,papao,-17.75,-149.55,24.82,91,80,4.57,PF,1690388868
90,lihue,21.9789,-159.3672,24.77,87,100,6.69,US,1690388911
